epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,360.85,1.41758,1.07923,1.04891,0.63894,0.3779,0.40822,0.22178,1.36124,0.88606,1.01831,0.0369778,6.08462e-05,6.08462e-05
2,698.837,1.37264,0.90788,1.03406,0.64318,0.39895,0.43293,0.2355,1.34808,0.83813,1.01143,0.000189877,0.000121002,0.000121002
3,1036.34,1.36068,0.87927,1.0298,0.6586,0.42271,0.45953,0.25429,1.32576,0.80203,1.00696,0.000120311,0.000120311,0.000120311
4,1374.17,1.3455,0.85607,1.02386,0.68159,0.42843,0.46953,0.25946,1.31418,0.78818,0.99915,0.000119506,0.000119506,0.000119506
5,1711.6,1.33866,0.84209,1.01907,0.58581,0.43571,0.47696,0.26398,1.30836,0.77784,0.99743,0.000118702,0.000118702,0.000118702
6,2049.38,1.32956,0.82887,1.01485,0.6842,0.44721,0.48938,0.27176,1.29918,0.76221,0.99082,0.000117897,0.000117897,0.000117897
7,2386.93,1.32375,0.82125,1.01457,0.68139,0.44805,0.48885,0.27329,1.29001,0.75574,0.9906,0.000117092,0.000117092,0.000117092
8,2723.64,1.31884,0.81243,1.01061,0.69222,0.44947,0.49789,0.28096,1.28604,0.74299,0.99154,0.000116288,0.000116288,0.000116288
9,3060.65,1.31242,0.80603,1.00757,0.69004,0.45616,0.50017,0.2834,1.28526,0.73767,0.9879,0.000115483,0.000115483,0.000115483
10,3397.99,1.31128,0.80086,1.00549,0.70601,0.45828,0.50904,0.28734,1.28234,0.73268,0.98188,0.000114678,0.000114678,0.000114678
11,3735.47,1.30614,0.79543,1.00297,0.70795,0.46204,0.51338,0.29116,1.27751,0.72509,0.98302,0.000113873,0.000113873,0.000113873
12,4072.23,1.30267,0.78996,1.00202,0.70081,0.46615,0.51679,0.29233,1.27289,0.71972,0.9812,0.000113069,0.000113069,0.000113069
13,4409.33,1.29604,0.78369,1.0009,0.71015,0.47243,0.52149,0.29386,1.27092,0.71683,0.97999,0.000112264,0.000112264,0.000112264
14,4746.46,1.29714,0.78145,1.00022,0.70553,0.47243,0.51919,0.29395,1.26907,0.71415,0.97869,0.000111459,0.000111459,0.000111459
15,5084,1.29582,0.77869,0.99844,0.61376,0.4778,0.52558,0.29925,1.26515,0.70816,0.97647,0.000110655,0.000110655,0.000110655
16,5420.97,1.29051,0.77265,0.99717,0.61141,0.48183,0.53041,0.30131,1.26344,0.70292,0.97715,0.00010985,0.00010985,0.00010985
17,5757.76,1.28738,0.76868,0.99527,0.63011,0.47482,0.53172,0.30247,1.26039,0.70182,0.9779,0.000109045,0.000109045,0.000109045
18,6094.9,1.28445,0.76525,0.99456,0.71721,0.48146,0.53374,0.30529,1.25969,0.69721,0.97728,0.000108241,0.000108241,0.000108241
19,6431.8,1.28389,0.76339,0.99439,0.7271,0.47971,0.53745,0.30758,1.25845,0.69483,0.975,0.000107436,0.000107436,0.000107436
20,6768.83,1.28274,0.76121,0.99119,0.62457,0.48119,0.53733,0.30733,1.25711,0.69286,0.97264,0.000106631,0.000106631,0.000106631
21,7105.52,1.28113,0.75922,0.99143,0.62627,0.48549,0.53831,0.30785,1.25546,0.6903,0.97278,0.000105827,0.000105827,0.000105827
22,7442.16,1.27984,0.75606,0.99128,0.62822,0.48857,0.5409,0.30994,1.25461,0.68827,0.97296,0.000105022,0.000105022,0.000105022
23,7779.09,1.27635,0.75317,0.99101,0.59961,0.50559,0.54272,0.31046,1.25349,0.68651,0.9725,0.000104217,0.000104217,0.000104217
24,8115.63,1.27553,0.75041,0.98964,0.67054,0.51776,0.5473,0.31599,1.25206,0.68494,0.97169,0.000103413,0.000103413,0.000103413
25,8452.63,1.27226,0.7471,0.98909,0.71887,0.49129,0.54356,0.3122,1.25189,0.68407,0.97332,0.000102608,0.000102608,0.000102608
26,8788.71,1.27106,0.74412,0.98735,0.72239,0.49347,0.54293,0.31204,1.25119,0.68232,0.97283,0.000101803,0.000101803,0.000101803
27,9125.08,1.26911,0.74265,0.98756,0.72923,0.49077,0.54449,0.31277,1.24994,0.68169,0.97248,0.000100999,0.000100999,0.000100999
28,9461.4,1.26632,0.73793,0.98588,0.62635,0.49174,0.54499,0.31316,1.24951,0.6801,0.97208,0.000100194,0.000100194,0.000100194
29,9798.56,1.26614,0.73738,0.98614,0.63874,0.52017,0.55054,0.31774,1.2497,0.67913,0.97209,9.93894e-05,9.93894e-05,9.93894e-05
30,10135.3,1.26485,0.73595,0.98612,0.63076,0.51605,0.55139,0.31908,1.24938,0.6778,0.97238,9.85847e-05,9.85847e-05,9.85847e-05
31,10471.7,1.26424,0.73412,0.98541,0.68427,0.49969,0.55192,0.31913,1.24905,0.67701,0.97245,9.778e-05,9.778e-05,9.778e-05
32,10808.3,1.26203,0.73081,0.98523,0.66928,0.50448,0.55303,0.31957,1.24887,0.6764,0.97239,9.69753e-05,9.69753e-05,9.69753e-05
33,11144.6,1.26024,0.72959,0.98322,0.66902,0.50407,0.55313,0.32068,1.24857,0.67576,0.97214,9.61707e-05,9.61707e-05,9.61707e-05
34,11481,1.2606,0.72855,0.98331,0.66172,0.51142,0.55299,0.31976,1.24831,0.67531,0.97217,9.5366e-05,9.5366e-05,9.5366e-05
35,11817.8,1.25622,0.72274,0.9808,0.65304,0.5148,0.55007,0.3175,1.24816,0.6748,0.97196,9.45613e-05,9.45613e-05,9.45613e-05
36,12154.3,1.25691,0.72347,0.98235,0.65566,0.5109,0.55006,0.31764,1.24788,0.67435,0.97186,9.37566e-05,9.37566e-05,9.37566e-05
37,12490.7,1.25588,0.72161,0.98281,0.659,0.50954,0.55122,0.31778,1.24782,0.67387,0.97189,9.2952e-05,9.2952e-05,9.2952e-05
38,12826.8,1.25209,0.71835,0.9805,0.65591,0.50873,0.55095,0.31762,1.24771,0.67346,0.9718,9.21473e-05,9.21473e-05,9.21473e-05
39,13162.9,1.25283,0.71647,0.98003,0.66819,0.50593,0.55123,0.31789,1.24771,0.67313,0.97176,9.13426e-05,9.13426e-05,9.13426e-05
40,13499.7,1.25195,0.7144,0.97993,0.67201,0.50454,0.55134,0.31801,1.24746,0.67276,0.97174,9.0538e-05,9.0538e-05,9.0538e-05
