epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,312.668,1.15882,0.60401,0.96619,0.65447,0.52965,0.57558,0.33345,1.23056,0.64081,0.98652,0.000201496,0.000161115,0.000161115
2,619.796,1.14872,0.59673,0.95949,0.605,0.54471,0.57625,0.33258,1.23113,0.64203,0.98611,0.000159861,0.000159861,0.000159861
3,926.763,1.14814,0.59622,0.95977,0.63991,0.52082,0.57567,0.33247,1.23057,0.64238,0.98622,0.000158263,0.000158263,0.000158263
4,1233.35,1.1479,0.596,0.95829,0.63275,0.52664,0.57496,0.33147,1.23237,0.64271,0.98609,0.000156664,0.000156664,0.000156664
5,1540.08,1.14624,0.59477,0.95739,0.65014,0.53877,0.57389,0.3313,1.23314,0.64369,0.9861,0.000155066,0.000155066,0.000155066
6,1846.97,1.14808,0.59481,0.95875,0.65896,0.53763,0.57481,0.33094,1.23265,0.6436,0.98545,0.000153467,0.000153467,0.000153467
7,2153.67,1.14459,0.59265,0.95709,0.64597,0.54375,0.57481,0.33151,1.23346,0.64377,0.98646,0.000151869,0.000151869,0.000151869
8,2461.25,1.147,0.59371,0.95693,0.65781,0.53599,0.57502,0.33165,1.2331,0.64385,0.98631,0.00015027,0.00015027,0.00015027
9,2768.41,1.14464,0.59283,0.95682,0.64475,0.54798,0.57597,0.33113,1.23341,0.64434,0.98695,0.000148672,0.000148672,0.000148672
10,3075.27,1.14452,0.59143,0.95714,0.62539,0.55162,0.57385,0.33041,1.23392,0.64468,0.98734,0.000147074,0.000147074,0.000147074
11,3381.98,1.14314,0.59173,0.95576,0.62997,0.55029,0.57491,0.33099,1.23332,0.64423,0.98647,0.000145475,0.000145475,0.000145475
