epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.983,1.33786,1.18031,1.03081,0.65061,0.41145,0.44111,0.25001,1.27498,0.8006,0.97683,0.00332268,0.00332268,0.00332268
2,455.709,1.28626,0.83492,0.99054,0.56722,0.40197,0.43565,0.23903,1.30463,0.82965,0.99646,0.00659012,0.00659012,0.00659012
3,681.31,1.32441,0.85085,1.00642,0.59762,0.3674,0.3766,0.19952,1.39213,0.92574,1.02792,0.00979156,0.00979156,0.00979156
4,906.793,1.34416,0.86778,1.01838,0.59867,0.37698,0.3895,0.20914,1.34663,0.86203,1.02485,0.009703,0.009703,0.009703
5,1131.98,1.31655,0.83014,1.0108,0.64039,0.4002,0.42851,0.23114,1.30658,0.79131,1.00335,0.009604,0.009604,0.009604
6,1357.14,1.29851,0.81063,1.00548,0.65842,0.40178,0.43394,0.23582,1.30015,0.77393,0.9992,0.009505,0.009505,0.009505
7,1582.99,1.28251,0.78887,0.99895,0.66064,0.40974,0.44699,0.24521,1.28088,0.758,0.99665,0.009406,0.009406,0.009406
8,1807.51,1.27061,0.77545,0.99411,0.67147,0.41805,0.45578,0.25422,1.27075,0.73439,0.99165,0.009307,0.009307,0.009307
9,2032.24,1.26457,0.76313,0.99148,0.68403,0.43285,0.47264,0.26195,1.26186,0.72434,0.98186,0.009208,0.009208,0.009208
10,2257.33,1.25515,0.75468,0.98721,0.67446,0.4332,0.47275,0.26158,1.256,0.72231,0.98111,0.009109,0.009109,0.009109
11,2482.2,1.24836,0.74682,0.98463,0.5863,0.44503,0.48101,0.26837,1.24612,0.70231,0.97891,0.00901,0.00901,0.00901
12,2706.98,1.24231,0.73722,0.98251,0.67529,0.45216,0.48915,0.27255,1.24029,0.70004,0.97787,0.008911,0.008911,0.008911
13,2931.57,1.23956,0.7339,0.98009,0.69882,0.4495,0.49558,0.2769,1.23652,0.69016,0.97487,0.008812,0.008812,0.008812
14,3156.15,1.23119,0.72778,0.97718,0.58596,0.45957,0.49753,0.27868,1.2313,0.68553,0.9759,0.008713,0.008713,0.008713
15,3380.66,1.23089,0.72251,0.9776,0.70566,0.46046,0.51185,0.28368,1.22528,0.67893,0.97345,0.008614,0.008614,0.008614
