trial,mAP@0.5,state,duration_seconds,imgsz,optimizer,lr0,momentum,weight_decay,warmup_epochs,warmup_momentum,warmup_bias_lr,mosaic,mixup
15,0.5002439377495521,COMPLETE,1384.941089,768,Adam,0.00012192021890239396,0.8888996841929279,3.4214299147447924e-05,2,0.7753369681596541,0.07369622770237041,0.7510576170263057,0.06813130521919572
11,0.4988368790854956,COMPLETE,1390.80335,768,Adam,0.00010118662648914812,0.8514082197196229,0.00035330454240099356,3,0.8269144783595105,0.08676501697940245,0.5692022195875244,0.15355229799013026
14,0.49718201016154107,COMPLETE,1389.047079,768,Adam,0.00010296295701265204,0.8595336383710444,0.00021633449801145105,2,0.827684640035661,0.08937271460237181,0.8450373653024943,0.09401425469969821
19,0.49642713154511187,COMPLETE,1387.415796,768,Adam,0.00011238911120900159,0.9063791258472338,0.0001250956947385644,2,0.789644291939959,0.05712022338379076,0.6872134603197738,0.11597246328188607
2,0.49519995833717695,COMPLETE,1383.984276,768,AdamW,0.00019485671251272575,0.8578061911582335,0.000790261954970823,3,0.8637788066524075,0.03046137691733707,0.5488360570031919,0.1368466053024314
12,0.49424874771185223,COMPLETE,1387.610138,768,AdamW,0.0002581312357680321,0.8572661913383784,5.622432185034556e-05,2,0.8534200605965067,0.06522360346616196,0.6410064580534052,0.19438832444123538
13,0.49369979189156926,COMPLETE,1381.52484,768,AdamW,0.00023828070218441419,0.8591714717956058,0.00032392015532818575,3,0.8610152809930884,0.05406337265506802,0.50194791734856,0.10304833452181744
16,0.491777936938033,COMPLETE,1385.332496,768,Adam,0.00027838272655938826,0.865713023471312,3.263640122653622e-05,3,0.6236547885084676,0.0946625734899615,0.6118290774947986,0.15580060558237022
17,0.4869266728788178,COMPLETE,1387.0259,768,Adam,0.00041263520115668436,0.9183480039077738,1.5740681056021985e-05,2,0.770635246942724,0.09735460872124413,0.6979925246933499,0.05670264821395519
10,0.48616483718215847,COMPLETE,1391.856662,768,Adam,0.00028301572154734456,0.8625119185091457,0.0009339471392402201,3,0.7469764584689902,0.061295823352773976,0.6700564124086668,0.1689213722626892
5,0.4828743932038234,COMPLETE,1385.08486,768,AdamW,0.00046416276498162026,0.9085534257456573,0.0007114668138090497,3,0.9456949457865867,0.04132450636848238,0.7922202551639732,0.09142805368635637
8,0.4796248079552948,COMPLETE,1390.939411,768,AdamW,0.00048582040249237995,0.9150047365325835,0.0004591891660849751,2,0.6731002420462724,0.06605121320956418,0.5706004578234427,0.19612651086969135
6,0.47032618423038625,COMPLETE,1383.530662,768,AdamW,0.0007972913946637024,0.8642533694603853,0.0003991310852882529,2,0.7287380269749706,0.027103902028703965,0.5836788629401141,0.07855187248221054
3,0.45441687794687446,COMPLETE,1016.722527,640,AdamW,0.00027520696850790545,0.9295026741224778,4.201672054372529e-05,2,0.7460196257044758,0.018485445552552705,0.9847923138822793,0.15502656467222292
4,0.4513530237178009,COMPLETE,1012.591139,640,AdamW,0.00012019462074072741,0.8751994424704447,0.0008564246077898465,3,0.8300113009765738,0.01867742913680949,0.5719899949745945,0.14260259077459436
7,0.45059784127625296,COMPLETE,1010.896555,640,Adam,0.00020733019435489495,0.9129593478682302,0.00038165556248635226,2,0.8695154725469569,0.07630371691058041,0.5252312452310752,0.07685297042243353
18,0.44957300675590606,COMPLETE,1014.093196,640,Adam,0.00010868283028325681,0.880751382254641,4.263436279094774e-05,2,0.8191386459098908,0.08336988722241398,0.5601569636128313,0.15056203668349555
0,0.43484521329474524,COMPLETE,1426.683375,768,SGD,0.00018408992080552527,0.856970033460184,0.0005399484409787432,2,0.8186326600082204,0.0020584494295802446,0.9849549260809971,0.16648852816008436
1,0.4203132949811936,COMPLETE,1038.068213,640,AdamW,0.0005418282319533242,0.8849474968237651,0.00016738085788752134,0,0.6314650918408482,0.03663618432936917,0.728034992108518,0.15703519227860274
9,0.4160648676003249,COMPLETE,1384.403599,768,SGD,0.0001315505817621954,0.891670669037609,0.0003654114491446343,3,0.7134500399234733,0.039587848873917364,0.5015345090954606,0.023307356647408295
