trial_number,status,map50,map50_95,precision,recall,error_type,hp_imgsz,hp_batch,hp_optimizer,hp_lr0,hp_momentum,hp_weight_decay,hp_warmup_epochs,hp_warmup_momentum,hp_warmup_bias_lr,hp_mosaic,hp_mixup,hp_epochs,hp_device,hp_val,hp_patience,hp_save,hp_plots,hp_cache,hp_workers,hp_close_mosaic,hp_verbose,best_trial
15,completed,0.5002439377495521,0.2817553955141782,0.7129201366087949,0.44755786483838234,,768,56,Adam,0.00012192021890239396,0.8888996841929279,3.4214299147447924e-05,2,0.7753369681596541,0.07369622770237041,0.7510576170263057,0.06813130521919572,6,cuda,True,10,True,True,False,8,10,True,True
11,completed,0.4988368790854956,0.28236895227443987,0.6869358230243844,0.44785849908832553,,768,56,Adam,0.00010118662648914812,0.8514082197196229,0.00035330454240099356,3,0.8269144783595105,0.08676501697940245,0.5692022195875244,0.15355229799013026,6,cuda,True,10,True,True,False,8,10,True,False
14,completed,0.49718201016154107,0.28406614790693163,0.6870008670063235,0.445840971375229,,768,56,Adam,0.00010296295701265204,0.8595336383710444,0.00021633449801145105,2,0.827684640035661,0.08937271460237181,0.8450373653024943,0.09401425469969821,6,cuda,True,10,True,True,False,8,10,True,False
19,completed,0.49642713154511187,0.28052180729722725,0.589581284290409,0.45480048205552875,,768,56,Adam,0.00011238911120900159,0.9063791258472338,0.0001250956947385644,2,0.789644291939959,0.05712022338379076,0.6872134603197738,0.11597246328188607,6,cuda,True,10,True,True,False,8,10,True,False
2,completed,0.49519995833717695,0.28191958315432564,0.6117154836654279,0.4518149011820854,,768,56,AdamW,0.00019485671251272575,0.8578061911582335,0.000790261954970823,3,0.8637788066524075,0.03046137691733707,0.5488360570031919,0.1368466053024314,6,cuda,True,10,True,True,False,8,10,True,False
12,completed,0.49424874771185223,0.2786799248122786,0.6865002232480414,0.4564804782203916,,768,56,AdamW,0.0002581312357680321,0.8572661913383784,5.622432185034556e-05,2,0.8534200605965067,0.06522360346616196,0.6410064580534052,0.19438832444123538,6,cuda,True,10,True,True,False,8,10,True,False
13,completed,0.49369979189156926,0.2765510024426425,0.692820946696497,0.4497633418085524,,768,56,AdamW,0.00023828070218441419,0.8591714717956058,0.00032392015532818575,3,0.8610152809930884,0.05406337265506802,0.50194791734856,0.10304833452181744,6,cuda,True,10,True,True,False,8,10,True,False
16,completed,0.491777936938033,0.27651217653228877,0.6814189630910075,0.4515146789158491,,768,56,Adam,0.00027838272655938826,0.865713023471312,3.263640122653622e-05,3,0.6236547885084676,0.0946625734899615,0.6118290774947986,0.15580060558237022,6,cuda,True,10,True,True,False,8,10,True,False
17,completed,0.4869266728788178,0.27312760201083996,0.680273669218914,0.4405935329921231,,768,56,Adam,0.00041263520115668436,0.9183480039077738,1.5740681056021985e-05,2,0.770635246942724,0.09735460872124413,0.6979925246933499,0.05670264821395519,6,cuda,True,10,True,True,False,8,10,True,False
10,completed,0.48616483718215847,0.2722499986927814,0.5777133636045468,0.4493174378462914,,768,56,Adam,0.00028301572154734456,0.8625119185091457,0.0009339471392402201,3,0.7469764584689902,0.061295823352773976,0.6700564124086668,0.1689213722626892,6,cuda,True,10,True,True,False,8,10,True,False
5,completed,0.4828743932038234,0.270031669718297,0.6733909543195652,0.4416819292971595,,768,56,AdamW,0.00046416276498162026,0.9085534257456573,0.0007114668138090497,3,0.9456949457865867,0.04132450636848238,0.7922202551639732,0.09142805368635637,6,cuda,True,10,True,True,False,8,10,True,False
8,completed,0.4796248079552948,0.2656539612308841,0.677675077897486,0.43779184059655335,,768,56,AdamW,0.00048582040249237995,0.9150047365325835,0.0004591891660849751,2,0.6731002420462724,0.06605121320956418,0.5706004578234427,0.19612651086969135,6,cuda,True,10,True,True,False,8,10,True,False
6,completed,0.47032618423038625,0.26089111687182454,0.6724286891935475,0.42872716391051624,,768,56,AdamW,0.0007972913946637024,0.8642533694603853,0.0003991310852882529,2,0.7287380269749706,0.027103902028703965,0.5836788629401141,0.07855187248221054,6,cuda,True,10,True,True,False,8,10,True,False
3,completed,0.45441687794687446,0.254409868092557,0.5704318262043389,0.4133763380271393,,640,86,AdamW,0.00027520696850790545,0.9295026741224778,4.201672054372529e-05,2,0.7460196257044758,0.018485445552552705,0.9847923138822793,0.15502656467222292,6,cuda,True,10,True,True,False,8,10,True,False
4,completed,0.4513530237178009,0.2541729086382434,0.6607601911306877,0.41717473235196356,,640,86,AdamW,0.00012019462074072741,0.8751994424704447,0.0008564246077898465,3,0.8300113009765738,0.01867742913680949,0.5719899949745945,0.14260259077459436,6,cuda,True,10,True,True,False,8,10,True,False
7,completed,0.45059784127625296,0.2530862279354932,0.6526901783538137,0.41628338844019,,640,86,Adam,0.00020733019435489495,0.9129593478682302,0.00038165556248635226,2,0.8695154725469569,0.07630371691058041,0.5252312452310752,0.07685297042243353,6,cuda,True,10,True,True,False,8,10,True,False
